Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Authentication,Chrome 103.0.5060.114,,,2022-07-11 12:22:08,2022-07-11 12:23:10,1m - 2.042s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:22:09,2022-07-11 12:22:25,16.135s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:22:09,2022-07-11 12:22:17,7.832s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:22:17,2022-07-11 12:22:22,5.056s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:22:22,2022-07-11 12:22:23,0.728s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:22:23,2022-07-11 12:22:23,0.562s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:22:23,2022-07-11 12:22:24,0.763s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:22:24,2022-07-11 12:22:25,0.739s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:22:25,2022-07-11 12:22:25,0.062s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:22:25,2022-07-11 12:22:39,13.793s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:22:25,2022-07-11 12:22:31,6.011s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:22:31,2022-07-11 12:22:36,5.010s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:22:36,2022-07-11 12:22:37,0.741s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:22:37,2022-07-11 12:22:37,0.571s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:22:37,2022-07-11 12:22:38,0.671s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:22:38,2022-07-11 12:22:39,0.723s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:22:39,2022-07-11 12:22:39,0.049s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:22:39,2022-07-11 12:22:52,13.457s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:22:39,2022-07-11 12:22:44,5.754s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:22:44,2022-07-11 12:22:49,5.018s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:22:49,2022-07-11 12:22:50,0.654s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:22:50,2022-07-11 12:22:51,0.550s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:22:51,2022-07-11 12:22:51,0.686s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:22:51,2022-07-11 12:22:52,0.737s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:22:52,2022-07-11 12:22:52,0.044s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:22:52,2022-07-11 12:23:10,18.080s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:22:52,2022-07-11 12:23:03,10.427s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:23:03,2022-07-11 12:23:08,5.014s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:23:08,2022-07-11 12:23:08,0.622s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:23:08,2022-07-11 12:23:09,0.543s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:23:09,2022-07-11 12:23:10,0.679s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:23:10,2022-07-11 12:23:10,0.721s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:23:10,2022-07-11 12:23:10,0.047s,ERROR
