Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""RegisterNow/setText_PasswordRegister""), password)",Chrome 103.0.5060.114,,,2022-07-11 12:52:27,2022-07-11 12:53:30,1m - 3.155s,PASSED
"setText(findTestObject(""RegisterNow/setText_ConfirmPassword""), confirmpassword)",Chrome 103.0.5060.114,,,2022-07-11 12:53:30,2022-07-11 12:53:30,0.745s,PASSED
"setText(findTestObject(""RegisterNow/setText_Address""), address)",Chrome 103.0.5060.114,,,2022-07-11 12:53:30,2022-07-11 12:53:31,0.733s,PASSED
"click(findTestObject(""RegisterNow/btn_RegisterNow""), STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-11 12:53:31,2022-07-11 12:53:34,2.519s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-11 12:53:34,2022-07-11 12:53:35,0.799s,PASSED
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:53:35,2022-07-11 12:55:30,1m - 55.288s,PASSED
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:53:35,2022-07-11 12:53:41,6.570s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:53:41,2022-07-11 12:53:46,5.007s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:53:46,2022-07-11 12:53:47,0.793s,PASSED
"clearText(findTestObject(""RegisterNow/input_Username or E-mail""), STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-11 12:53:47,2022-07-11 12:54:18,31.501s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:54:18,2022-07-11 12:54:19,0.700s,PASSED
"clearText(findTestObject(""RegisterNow/setText_EmailRegis""))",Chrome 103.0.5060.114,,,2022-07-11 12:54:19,2022-07-11 12:54:20,0.377s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:54:20,2022-07-11 12:54:20,0.708s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phonenumber)",Chrome 103.0.5060.114,,,2022-07-11 12:54:20,2022-07-11 12:54:21,0.706s,PASSED
"setText(findTestObject(""RegisterNow/setText_PasswordRegister""), password)",Chrome 103.0.5060.114,,,2022-07-11 12:54:21,2022-07-11 12:55:24,1m - 3.267s,PASSED
"setText(findTestObject(""RegisterNow/setText_ConfirmPassword""), confirmpassword)",Chrome 103.0.5060.114,,,2022-07-11 12:55:24,2022-07-11 12:55:25,0.782s,PASSED
"setText(findTestObject(""RegisterNow/setText_Address""), address)",Chrome 103.0.5060.114,,,2022-07-11 12:55:25,2022-07-11 12:55:26,0.814s,PASSED
"click(findTestObject(""RegisterNow/btn_RegisterNow""), STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-11 12:55:26,2022-07-11 12:55:29,3.253s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-11 12:55:29,2022-07-11 12:55:30,0.775s,PASSED
