Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Authentication,Chrome 103.0.5060.114,,,2022-07-11 12:20:59,2022-07-11 12:22:04,1m - 5.968s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:20:59,2022-07-11 12:21:13,14.175s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:20:59,2022-07-11 12:21:05,5.801s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:21:05,2022-07-11 12:21:10,5.045s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:21:10,2022-07-11 12:21:11,0.716s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:21:11,2022-07-11 12:21:11,0.568s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:21:11,2022-07-11 12:21:12,0.757s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:21:12,2022-07-11 12:21:13,0.763s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:21:13,2022-07-11 12:21:13,0.072s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:21:13,2022-07-11 12:21:32,18.646s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:21:13,2022-07-11 12:21:24,11.073s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:21:24,2022-07-11 12:21:29,5.009s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:21:29,2022-07-11 12:21:30,0.615s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:21:30,2022-07-11 12:21:30,0.525s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:21:30,2022-07-11 12:21:31,0.660s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:21:31,2022-07-11 12:21:32,0.688s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:21:32,2022-07-11 12:21:32,0.058s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:21:32,2022-07-11 12:21:50,18.488s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:21:32,2022-07-11 12:21:43,10.954s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:21:43,2022-07-11 12:21:48,5.010s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:21:48,2022-07-11 12:21:48,0.597s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:21:48,2022-07-11 12:21:49,0.531s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:21:49,2022-07-11 12:21:50,0.644s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:21:50,2022-07-11 12:21:50,0.690s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:21:50,2022-07-11 12:21:50,0.047s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:21:50,2022-07-11 12:22:04,13.998s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:21:51,2022-07-11 12:21:57,6.341s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:21:57,2022-07-11 12:22:02,5.014s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:22:02,2022-07-11 12:22:02,0.605s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:22:02,2022-07-11 12:22:03,0.560s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:22:03,2022-07-11 12:22:04,0.671s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:22:04,2022-07-11 12:22:04,0.725s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:22:04,2022-07-11 12:22:04,0.042s,ERROR
