Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Authentication,Chrome 103.0.5060.114,,,2022-07-11 12:38:47,2022-07-11 12:40:13,1m - 25.887s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:38:47,2022-07-11 12:39:09,21.817s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:38:48,2022-07-11 12:38:59,11.618s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:38:59,2022-07-11 12:39:04,5.101s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:39:04,2022-07-11 12:39:07,2.104s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:39:07,2022-07-11 12:39:07,0.503s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:39:07,2022-07-11 12:39:08,0.976s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:39:08,2022-07-11 12:39:09,0.897s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:39:09,2022-07-11 12:39:09,0.181s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:39:09,2022-07-11 12:39:29,19.272s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:39:09,2022-07-11 12:39:20,10.884s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:39:20,2022-07-11 12:39:25,5.017s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:39:25,2022-07-11 12:39:27,1.339s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:39:27,2022-07-11 12:39:27,0.472s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:39:27,2022-07-11 12:39:28,0.725s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:39:28,2022-07-11 12:39:29,0.744s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:39:29,2022-07-11 12:39:29,0.059s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:39:29,2022-07-11 12:39:55,26.092s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:39:29,2022-07-11 12:39:44,15.630s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:39:44,2022-07-11 12:39:49,5.010s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:39:49,2022-07-11 12:39:52,3.033s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:39:52,2022-07-11 12:39:53,0.537s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:39:53,2022-07-11 12:39:54,0.817s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:39:54,2022-07-11 12:39:55,0.889s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:39:55,2022-07-11 12:39:55,0.153s,ERROR
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:39:55,2022-07-11 12:40:13,17.858s,ERROR
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:39:55,2022-07-11 12:40:04,9.257s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:40:04,2022-07-11 12:40:09,5.018s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:40:09,2022-07-11 12:40:10,1.150s,PASSED
"verifyElementPresent(findTestObject(""RegisterNow/setText_UsernameRegister""), 3)",Chrome 103.0.5060.114,,,2022-07-11 12:40:10,2022-07-11 12:40:11,0.476s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:40:11,2022-07-11 12:40:12,0.828s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:40:12,2022-07-11 12:40:13,0.903s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phone)",Chrome 103.0.5060.114,,,2022-07-11 12:40:13,2022-07-11 12:40:13,0.160s,ERROR
